City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
388,marzuq,YE,65.93,14.4,46.4667,few clouds,
389,braco do norte,BR,63.0,-28.275,-49.1656,broken clouds,Costa Nobre Hotel
390,east wenatchee bench,US,62.6,47.4257,-120.2812,clear sky,Coast Wenatchee Center Hotel
393,hirara,JP,80.6,24.8,125.2833,scattered clouds,Hotel Atoll Emerald Miyakojima
394,guanica,PR,75.0,17.9716,-66.908,clear sky,Copamarina Beach Resort & Spa
396,tambacounda,SN,84.06,13.7539,-13.7586,clear sky,
397,dingle,PH,85.8,10.9995,122.6711,overcast clouds,SEGAYA PROPERTY
399,praya,CV,69.8,14.9215,-23.5087,clear sky,LT Aparthotel
400,kolokani,ML,77.79,13.5728,-8.0339,clear sky,Lycee Famolo Coulibalibali De Kolokani
401,puerto del rosario,ES,64.4,28.5004,-13.8627,scattered clouds,Hotel JM Puerto del Rosario
402,nacala,MZ,70.03,-14.5428,40.6728,scattered clouds,Nacala Plaza Business Design Hotel
403,medina,SA,77.0,24.4686,39.6142,clear sky,Anwar Al Madinah Mövenpick Hotel
404,le vauclin,MQ,77.0,14.5452,-60.8388,clear sky,Hôtel Cap Macabou
407,pasighat,IN,77.41,28.0667,95.3333,broken clouds,Siang Guest House
410,dongzhen,CN,88.0,22.3797,110.9389,clear sky,茂名中汇时尚酒店
412,umarkot,PK,84.97,25.3616,69.7362,clear sky,Al-Qamar Boys Hostel
413,paita,PE,71.82,-5.0892,-81.1144,broken clouds,Hotel Náutico de Paita
419,george town,MY,89.01,5.4112,100.3354,few clouds,Cititel Penang
421,zemio,CF,71.96,5.0314,25.1361,overcast clouds,OCHA Office
422,esperance,AU,95.0,-33.8667,121.9,clear sky,Hospitality Esperance
425,lorengau,PG,82.71,-2.0226,147.2712,light rain,Lorengau Harbourside Hotel
428,lima,PE,69.8,-12.0432,-77.0282,clear sky,Gran Hotel Bolivar Lima
429,bilma,NE,68.27,18.6853,12.9164,clear sky,Expeditions Ténére voyages
435,kattivakkam,IN,86.0,13.2167,80.3167,haze,Raj's villa
438,wanning,CN,84.52,18.8003,110.3967,few clouds,Paradise Hotel
441,paracatu,BR,69.3,-17.2222,-46.8747,scattered clouds,Hotel Paracatu Plaza
443,tshela,CD,72.09,-4.9833,12.9333,light rain,Hotel Mirador
444,farafangana,MG,74.75,-22.8167,47.8333,overcast clouds,Miarina
446,gambela,ET,79.52,8.25,34.5833,broken clouds,Solomon Debebe Hotel
447,riberalta,BO,72.93,-10.9833,-66.1,overcast clouds,Hotel Colonial
455,veraval,IN,79.25,20.9,70.3667,scattered clouds,Lords Inn Somnath
456,shingu,JP,68.0,33.7333,135.9833,broken clouds,Shingu UI Hotel
461,sao joao da barra,BR,71.76,-21.6403,-41.0511,scattered clouds,Pousada Porto De Canoas
462,warrnambool,AU,87.01,-38.3833,142.4833,clear sky,Lady Bay Resort
463,mozarlandia,BR,72.25,-14.7447,-50.5706,scattered clouds,Hotel Santa Mônica
467,tupaciguara,BR,67.86,-18.5922,-48.705,scattered clouds,Hotel Tupaciguara
468,hobyo,SO,80.6,5.3505,48.5268,scattered clouds,Halane Hotel and Restaurent
471,voi,KE,71.49,-3.3945,38.563,few clouds,Voi Wildlife Lodge
472,kaili,ID,75.74,-3.4626,120.2147,light rain,
474,nelson bay,AU,75.99,-32.7167,152.15,scattered clouds,Mantra Nelson Bay
475,amapa,BR,70.39,1.0,-52.0,overcast clouds,
477,tabuk,PH,86.7,17.4189,121.4443,clear sky,Golden Berries Hotel and Convention
478,bom jesus da lapa,BR,71.4,-13.255,-43.4181,broken clouds,Hotel das Nações
479,bambanglipuro,ID,83.75,-7.95,110.2833,overcast clouds,Puri Brata
480,jinka,ET,63.93,5.65,36.65,overcast clouds,
481,tomatlan,MX,69.94,19.9333,-105.25,clear sky,Norma franco
483,piacabucu,BR,79.41,-10.4056,-36.4344,scattered clouds,Piaçabuçu News
484,sabang,ID,82.54,5.8933,95.3214,moderate rain,Hotel Citra
487,pemangkat,ID,84.07,1.1667,108.9667,scattered clouds,Kost H.Syamsuddin
490,labuan,MY,84.2,5.2767,115.2417,scattered clouds,Tiara Labuan Hotel
491,quatre cocos,MU,75.99,-20.2078,57.7625,light rain,Emeraude Beach Attitude Hotel
494,puerto colombia,CO,78.8,10.9878,-74.9547,scattered clouds,Hotel El Emigrante
495,vao,NC,74.55,-22.6667,167.4833,overcast clouds,Hotel Kou-Bugny
502,belmonte,BR,80.6,-15.8631,-38.8828,scattered clouds,Pousada Monte Carmelo O Pão
503,kaeo,NZ,73.0,-35.1,173.7833,clear sky,Bushido Lodge
505,aswan,EG,61.56,24.0934,32.907,clear sky,Nuba Nile
506,arrecife,ES,60.8,28.963,-13.5477,clear sky,Hotel Lancelot
510,duekoue,CI,72.73,6.7472,-7.3496,broken clouds,L'Etoile
512,quelimane,MZ,75.2,-17.8786,36.8883,clear sky,Hotel Flamingo
513,dali,CN,66.92,25.7,100.1833,clear sky,Dali Travelling With Hostel
514,ambilobe,MG,71.33,-13.2,49.05,scattered clouds,Hôtel & Restaurant DIANA Ambilobe
515,cabo san lucas,MX,80.6,22.8909,-109.9124,scattered clouds,Hotel Tesoro Los Cabos
517,gizo,SB,85.57,-8.103,156.8419,light rain,Imagination Island
519,razole,IN,84.2,16.4833,81.8333,mist,Sterling Palavelli Godavari
522,batemans bay,AU,78.01,-35.7167,150.1833,overcast clouds,Batemans Bay Marina Resort
523,alice springs,AU,87.01,-23.7,133.8833,clear sky,Desert Palms Alice Springs
524,serra,BR,73.4,-20.1286,-40.3078,broken clouds,Interior do Estado do Espirito Santo
525,mbanza-ngungu,CD,66.9,-5.25,14.8667,broken clouds,Hotel Full Business
529,fuxin,CN,61.48,42.0156,121.6589,overcast clouds,Xinya International Hotel
532,bumbuna,SL,73.74,9.05,-11.7333,few clouds,Joel Inn
533,itarema,BR,76.15,-2.9248,-39.9167,few clouds,"Sea Lounge! Bar, Club & Restaurant"
534,padampur,IN,75.22,29.6833,73.6167,clear sky,Pensia Sadan
535,cockburn town,TC,77.65,21.4612,-71.1419,scattered clouds,Osprey Beach Hotel
538,ganzhou,CN,63.81,28.8184,115.4327,overcast clouds,Laotou Farm Restaurant Hostel
539,carutapera,BR,75.0,-1.195,-46.02,overcast clouds,Lidera
540,chicama,PE,72.23,-7.8447,-79.1469,overcast clouds,Chicama Me Gusta
541,ndele,CF,80.37,8.4109,20.6473,overcast clouds,
542,bani,DO,75.0,18.2833,-70.3333,clear sky,Hospedaje Henriquez
544,kiunga,PG,76.01,-6.1219,141.2906,light rain,Airport Lodge Kiunga
545,jacareacanga,BR,72.37,-6.2222,-57.7528,light rain,Casa do Ian😎
549,peachland,CA,62.6,49.7665,-119.7357,clear sky,Wine Stopper B&B
550,padang,ID,86.0,-0.9492,100.3543,scattered clouds,Mercure Padang
554,banda aceh,ID,82.42,5.5577,95.3222,moderate rain,Sulthan Hotel International
556,nicolas bravo,MX,82.0,18.45,-88.9167,broken clouds,
560,ikongo,MG,68.07,-21.8833,47.4333,light rain,
561,neuquen,AR,73.4,-38.9516,-68.0591,clear sky,Hotel del Comahue
