City_ID,City,Lat,Lng,Max Temp,Current Description,Rain (inches),Snow (inches),Humidity,Cloudiness,Wind Speed,Country
130,saint-joseph,-21.3667,55.6167,77.0,overcast clouds,0.0,0.0,73,90,10.36,RE
131,ahar,38.4774,47.0699,46.62,scattered clouds,0.0,0.0,47,36,6.6,IR
132,selcuk,37.9514,27.3685,51.01,mist,0.0,0.0,100,13,3.44,TR
133,butaritari,3.0707,172.7902,82.27,light rain,0.55,0.0,76,100,11.61,KI
134,narsaq,60.9167,-46.05,35.6,broken clouds,0.0,0.0,75,75,1.14,GL
135,ostrovnoy,68.0531,39.5131,27.73,light snow,0.0,0.11,96,100,8.41,RU
136,kaita,34.3667,132.55,66.2,light rain,0.15,0.0,52,20,9.22,JP
137,gavrilovka vtoraya,52.877,42.7663,36.23,overcast clouds,0.0,0.0,85,97,12.39,RU
138,asau,46.4333,26.4,43.0,light rain,0.12,0.0,81,0,10.36,RO
139,hasaki,35.7333,140.8333,68.0,broken clouds,0.0,0.0,59,75,12.66,JP
140,methven,-43.6333,171.65,53.01,overcast clouds,0.0,0.0,92,100,4.9,NZ
141,seredka,58.1584,28.1858,30.2,clear sky,0.0,0.0,86,0,4.47,RU
142,ust-kuyga,70.0167,135.6,5.18,overcast clouds,0.0,0.0,83,100,5.1,RU
143,hilo,19.7297,-155.09,78.8,moderate rain,1.02,0.0,61,75,12.66,US
144,kavaratti,10.5669,72.642,83.12,broken clouds,0.0,0.0,66,58,11.74,IN
145,green valley,31.8543,-110.9937,75.99,scattered clouds,0.0,0.0,11,38,1.01,US
146,tautira,-17.7333,-149.15,86.0,light rain,0.21,0.0,70,40,11.5,PF
147,naze,28.3667,129.4833,69.8,broken clouds,0.0,0.0,94,75,18.41,JP
148,zyryanka,65.75,150.85,11.73,few clouds,0.0,0.0,73,15,11.14,RU
149,ocampo,21.65,-101.5,48.78,broken clouds,0.0,0.0,78,56,21.94,MX
150,pundaguitan,6.3711,126.1689,82.11,overcast clouds,0.0,0.0,77,99,10.63,PH
151,north bend,43.4065,-124.2243,48.99,few clouds,0.0,0.0,87,20,13.8,US
152,baruun-urt,46.6806,113.2792,32.83,scattered clouds,0.0,0.0,40,29,15.5,MN
153,harlingen,26.1906,-97.6961,63.0,overcast clouds,0.0,0.0,63,90,8.05,US
154,nikolskoye,59.7035,30.7861,34.0,clear sky,0.0,0.0,86,0,4.47,RU
155,khatanga,71.9667,102.5,-15.83,scattered clouds,0.0,0.0,91,26,5.93,RU
156,chegdomyn,51.1167,133.0167,42.58,overcast clouds,0.0,0.0,58,100,1.21,RU
157,bilibino,68.0546,166.4372,5.0,overcast clouds,0.0,0.0,82,100,8.16,RU
158,shache,38.4167,77.2406,40.15,overcast clouds,0.0,0.0,84,100,7.83,CN
159,khorramshahr,30.4397,48.1664,68.0,clear sky,0.0,0.0,73,0,4.61,IR
160,madisonville,37.3281,-87.4989,36.0,clear sky,0.0,0.0,44,1,6.08,US
161,kajaani,64.2273,27.7285,26.6,broken clouds,0.0,0.0,93,75,3.44,FI
162,rio grande,-32.035,-52.0986,66.31,scattered clouds,0.0,0.0,77,33,9.55,BR
163,high level,58.5169,-117.136,35.6,snow,0.0,0.87,93,90,8.05,CA
164,sweetwater,25.7634,-80.3731,73.4,overcast clouds,0.0,0.0,73,90,9.22,US
165,san patricio,28.017,-97.5169,60.8,broken clouds,0.0,0.0,55,75,9.22,US
166,varhaug,58.6147,5.6457,39.0,overcast clouds,0.0,0.0,93,100,19.04,NO
167,leningradskiy,69.3833,178.4167,1.72,overcast clouds,0.0,0.0,89,100,7.23,RU
168,mackay,-21.15,149.2,80.6,scattered clouds,0.0,0.0,69,40,23.02,AU
169,kaitangata,-46.2817,169.8464,59.0,clear sky,0.0,0.0,54,7,13.0,NZ
170,vostok,46.4856,135.8833,45.09,overcast clouds,0.0,0.0,65,100,2.71,RU
171,lakselv,70.0513,24.9718,21.2,few clouds,0.0,0.0,86,20,3.44,NO
172,maumere,-8.6199,122.2111,82.08,light rain,0.562,0.0,81,100,10.27,ID
173,el alto,-4.2714,-81.2147,70.34,few clouds,0.0,0.0,74,24,9.44,PE
174,bulolo,-7.2,146.65,80.78,overcast clouds,0.0,0.0,74,99,1.28,PG
175,okha,53.5739,142.9478,33.4,few clouds,0.0,0.0,81,16,8.81,RU
176,tubuala,9.5167,-79.0333,78.8,few clouds,0.0,0.0,78,20,3.44,PA
177,souillac,-20.5167,57.5167,75.2,light rain,0.38,0.0,100,75,1.14,MU
178,kathmandu,27.7167,85.3167,60.8,mist,0.0,0.0,63,20,2.3,NP
179,sao jose da coroa grande,-8.8978,-35.1478,78.89,scattered clouds,0.0,0.0,72,34,9.1,BR
180,fuerte olimpo,-21.0415,-57.8738,74.53,broken clouds,0.0,0.0,50,56,4.45,PY
181,ugoofaaru,5.6667,73.0,82.94,overcast clouds,0.0,0.0,75,94,10.54,MV
